district_code,category,amount,school_year
32414,Community Services,820622.36,2024-25
32414,Compensatory Education,2224732.69,2024-25
32414,Districtwide Support,7549360.79,2024-25
32414,Food Services,1255987.64,2024-25
32414,Other Instructional,140855.51,2024-25
32414,Special Education,4869659.02,2024-25
32414,Transportation,1662044.71,2024-25
32414,Vocational/CTE,1373088.96,2024-25
32416,Basic Education,11724341.13,2024-25
32416,Community Services,657946.28,2024-25
32416,Compensatory Education,1451159.59,2024-25
32416,Districtwide Support,4770245.19,2024-25
32416,Food Services,1026205.7,2024-25
32416,Other Instructional,116848.29,2024-25
32416,Special Education,2947050.27,2024-25
32416,Transportation,1619238.4,2024-25
32416,Vocational/CTE,1648823.87,2024-25
32901,Basic Education,6770097.79,2024-25
32901,COVID Relief,20273.43,2024-25
32901,Community Services,114562.82,2024-25
32901,Compensatory Education,668814.93,2024-25
32901,Districtwide Support,3726983.5,2024-25
32901,Food Services,635729.76,2024-25
32901,Other Instructional,92079.48,2024-25
32901,Special Education,1418212.63,2024-25
32901,Transportation,677161.81,2024-25
32903,Basic Education,1158059.76,2024-25
32903,Compensatory Education,101730.19,2024-25
32903,Districtwide Support,839576.82,2024-25
32903,Food Services,23422.05,2024-25
32903,Other Instructional,10920.84,2024-25
32903,Special Education,94777.05,2024-25
32903,Transportation,4272.8,2024-25
32907,Basic Education,2270586.92,2024-25
32907,Compensatory Education,623149.22,2024-25
32907,Districtwide Support,1857275.32,2024-25
32907,Food Services,155004.16,2024-25
32907,Special Education,447314.16,2024-25
32907,Vocational/CTE,225286.74,2024-25
33030,Basic Education,521266.2,2024-25
33030,Community Services,14754.56,2024-25
33030,Compensatory Education,119281.63,2024-25
33030,Districtwide Support,316841.52,2024-25
33030,Food Services,124838.16,2024-25
33030,Other Instructional,1500.0,2024-25
33030,Special Education,101752.38,2024-25
33030,Transportation,112958.41,2024-25
33036,Basic Education,6982167.43,2024-25
33036,COVID Relief,21507.7,2024-25
33036,Community Services,2558.62,2024-25
33036,Compensatory Education,1230718.77,2024-25
33036,Districtwide Support,2352850.01,2024-25
33036,Food Services,583559.12,2024-25
33036,Other Instructional,49280.37,2024-25
33036,Special Education,2049153.29,2024-25
33036,Transportation,716390.31,2024-25
33036,Vocational/CTE,563827.45,2024-25
33049,Basic Education,5529578.1,2024-25
33049,COVID Relief,2014.39,2024-25
33049,Community Services,11711.03,2024-25
33049,Compensatory Education,1428977.5,2024-25
33049,Districtwide Support,3682108.37,2024-25
33049,Food Services,424724.52,2024-25
33049,Other Instructional,642241.71,2024-25
33049,Special Education,1134948.95,2024-25
33049,Transportation,399659.41,2024-25
33049,Vocational/CTE,213280.93,2024-25
33070,Basic Education,9072980.2,2024-25
33070,Community Services,1106498.2,2024-25
33070,Compensatory Education,460189.29,2024-25
33070,Districtwide Support,3704977.03,2024-25
33070,Food Services,496326.76,2024-25
33070,Other Instructional,133119.67,2024-25
33070,Special Education,1659840.11,2024-25
33070,Transportation,1348488.99,2024-25
33115,Basic Education,14309943.37,2024-25
33115,Compensatory Education,2262078.06,2024-25
33115,Districtwide Support,5137466.03,2024-25
33115,Food Services,1319793.96,2024-25
33115,Other Instructional,225252.27,2024-25
33115,Special Education,4008653.27,2024-25
33115,Transportation,2091019.04,2024-25
33115,Vocational/CTE,1542793.69,2024-25
33183,Basic Education,1780726.82,2024-25
33183,Compensatory Education,277640.34,2024-25
33183,Districtwide Support,833538.24,2024-25
33183,Food Services,263436.71,2024-25
33183,Other Instructional,22629.83,2024-25
33183,Special Education,386816.16,2024-25
33202,Basic Education,805435.56,2024-25
33202,Compensatory Education,173846.21,2024-25
33202,Districtwide Support,235232.72,2024-25
33202,Food Services,128092.72,2024-25
33202,Other Instructional,3497.32,2024-25
33202,Special Education,179672.95,2024-25
33205,Basic Education,317323.7,2024-25
33205,Compensatory Education,101907.41,2024-25
33205,Districtwide Support,180213.85,2024-25
33205,Food Services,93105.96,2024-25
33205,Special Education,66135.97,2024-25
33206,Basic Education,1685133.26,2024-25
33206,Compensatory Education,235438.33,2024-25
33206,Districtwide Support,893625.69,2024-25
33206,Food Services,182143.31,2024-25
33206,Other Instructional,46166.83,2024-25
33206,Special Education,269973.75,2024-25
33206,Transportation,285540.07,2024-25
33206,Vocational/CTE,138818.95,2024-25
33207,Basic Education,3865680.93,2024-25
33207,Community Services,109601.74,2024-25
33207,Compensatory Education,1171260.71,2024-25
33207,Districtwide Support,2029043.72,2024-25
33207,Food Services,445070.78,2024-25
33207,Special Education,1218121.59,2024-25
33207,Transportation,446888.1,2024-25
33207,Vocational/CTE,294719.51,2024-25
33211,Basic Education,2731522.85,2024-25
33211,Compensatory Education,420374.06,2024-25
33211,Districtwide Support,1847962.36,2024-25
33211,Food Services,245080.91,2024-25
33211,Other Instructional,3061.97,2024-25
33211,Special Education,602168.13,2024-25
33211,Transportation,463874.85,2024-25
33211,Vocational/CTE,103202.83,2024-25
33212,Basic Education,9910162.12,2024-25
33212,Community Services,542749.98,2024-25
33212,Compensatory Education,1034551.96,2024-25
33212,Districtwide Support,3017868.54,2024-25
33212,Food Services,714291.98,2024-25
33212,Other Instructional,25317.72,2024-25
33212,Special Education,2141635.41,2024-25
33212,Transportation,945985.9,2024-25
33212,Vocational/CTE,692160.68,2024-25
34002,Basic Education,46062524.74,2024-25
34002,Compensatory Education,3348836.24,2024-25
34002,Districtwide Support,11950726.46,2024-25
34002,Food Services,3381900.31,2024-25
34002,Other Instructional,1074826.02,2024-25
34002,Special Education,16481919.98,2024-25
34002,Transportation,5131026.72,2024-25
34002,Vocational/CTE,3984063.91,2024-25
34003,Basic Education,146836811.61,2024-25
34003,Community Services,225883.26,2024-25
34003,Compensatory Education,11898578.46,2024-25
34003,Districtwide Support,29963849.32,2024-25
34003,Food Services,8489462.8,2024-25
34003,Other Instructional,3149762.71,2024-25
34003,Special Education,56713472.91,2024-25
34003,Transportation,12265419.1,2024-25
34003,Vocational/CTE,12288791.18,2024-25
34033,Basic Education,61346832.4,2024-25
34033,Community Services,608692.02,2024-25
34033,Compensatory Education,3988771.3,2024-25
34033,Districtwide Support,16286463.28,2024-25
34033,Food Services,3108351.75,2024-25
34033,Other Instructional,778158.39,2024-25
34033,Special Education,17917477.94,2024-25
34033,Transportation,5458229.02,2024-25
34033,Vocational/CTE,11833550.9,2024-25
34111,Basic Education,89758094.84,2024-25
34111,Community Services,731224.48,2024-25
34111,Compensatory Education,6161642.08,2024-25
34111,Districtwide Support,22504725.84,2024-25
34111,Food Services,4649429.82,2024-25
34111,Other Instructional,1950003.41,2024-25
34111,Special Education,35759924.06,2024-25
34111,Transportation,6212597.34,2024-25
34111,Vocational/CTE,7590254.22,2024-25
34307,Basic Education,8522992.86,2024-25
34307,Community Services,55245.53,2024-25
34307,Compensatory Education,589166.63,2024-25
34307,Districtwide Support,2968006.69,2024-25
34307,Food Services,707989.66,2024-25
34307,Other Instructional,34157.8,2024-25
34307,Special Education,1974302.41,2024-25
34307,Transportation,708514.55,2024-25
34307,Vocational/CTE,928645.71,2024-25
34324,Basic Education,6909492.47,2024-25
34324,Community Services,579.24,2024-25
34324,Compensatory Education,319500.27,2024-25
34324,Districtwide Support,2298835.8,2024-25
34324,Food Services,313923.99,2024-25
34324,Other Instructional,34098.92,2024-25
34324,Special Education,1439625.1,2024-25
34324,Transportation,660089.3,2024-25
34401,Basic Education,19975126.98,2024-25
34401,Community Services,635.68,2024-25
34401,Compensatory Education,2586000.27,2024-25
34401,Districtwide Support,5121610.39,2024-25
34401,Food Services,1195882.47,2024-25
34401,Other Instructional,784374.46,2024-25
34401,Special Education,6369562.59,2024-25
34401,Transportation,2872157.19,2024-25
34401,Vocational/CTE,1064594.9,2024-25
34402,Basic Education,11141996.88,2024-25
34402,Compensatory Education,1182238.03,2024-25
34402,Districtwide Support,3882251.01,2024-25
34402,Food Services,890899.51,2024-25
34402,Other Instructional,76699.02,2024-25
34402,Special Education,3057562.28,2024-25
34402,Transportation,1361306.88,2024-25
34402,Vocational/CTE,1212032.83,2024-25
34901,Basic Education,1164767.93,2024-25
34901,Community Services,2597.95,2024-25
34901,Compensatory Education,190441.3,2024-25
34901,Districtwide Support,132939.53,2024-25
34901,Special Education,187135.95,2024-25
34901,Transportation,237702.36,2024-25
35200,Basic Education,3520442.98,2024-25
35200,COVID Relief,78060.45,2024-25
35200,Compensatory Education,566672.75,2024-25
35200,Districtwide Support,1713080.17,2024-25
35200,Food Services,316223.72,2024-25
35200,Other Instructional,25831.1,2024-25
35200,Special Education,895038.66,2024-25
35200,Transportation,355357.94,2024-25
35200,Vocational/CTE,295702.15,2024-25
36101,Basic Education,320437.83,2024-25
36101,Compensatory Education,49173.39,2024-25
36101,Districtwide Support,260927.6,2024-25
36101,Food Services,64960.81,2024-25
36101,Special Education,28309.01,2024-25
36101,Transportation,107537.69,2024-25
36140,Basic Education,46106888.5,2024-25
36140,Community Services,225286.03,2024-25
36140,Compensatory Education,8618004.96,2024-25
36140,Districtwide Support,17236082.5,2024-25
36140,Food Services,3344127.1,2024-25
36140,Other Instructional,4296208.46,2024-25
36140,Special Education,13423964.4,2024-25
36140,Transportation,2721878.59,2024-25
36140,Vocational/CTE,4341164.03,2024-25
36250,Basic Education,14612635.1,2024-25
36250,Community Services,13200.4,2024-25
36250,Compensatory Education,2247380.15,2024-25
36250,Districtwide Support,4614520.05,2024-25
36250,Food Services,1053821.13,2024-25
36250,Other Instructional,620209.52,2024-25
36250,Special Education,3542794.01,2024-25
36250,Transportation,892768.95,2024-25
36250,Vocational/CTE,1692248.54,2024-25
36300,Basic Education,2354137.59,2024-25
36300,Community Services,28474.3,2024-25
36300,Compensatory Education,412227.33,2024-25
36300,Districtwide Support,1296814.47,2024-25
36300,Food Services,244211.44,2024-25
36300,Other Instructional,54317.13,2024-25
36300,Special Education,173858.4,2024-25
36300,Transportation,197301.46,2024-25
36300,Vocational/CTE,300450.52,2024-25
36400,Basic Education,7786452.47,2024-25
36400,COVID Relief,4772.88,2024-25
36400,Compensatory Education,868384.19,2024-25
36400,Districtwide Support,2722128.34,2024-25
36400,Food Services,642150.05,2024-25
36400,Other Instructional,288127.5,2024-25
36400,Special Education,1660143.01,2024-25
36400,Transportation,447955.25,2024-25
36400,Vocational/CTE,646293.59,2024-25
36401,Basic Education,2637273.57,2024-25
36401,Community Services,62599.06,2024-25
36401,Compensatory Education,342156.01,2024-25
36401,Districtwide Support,1415981.27,2024-25
36401,Food Services,268893.92,2024-25
36401,Other Instructional,4500.0,2024-25
36401,Special Education,481130.04,2024-25
36401,Transportation,121639.66,2024-25
36401,Vocational/CTE,251303.81,2024-25
36402,Basic Education,2984451.41,2024-25
36402,COVID Relief,2141.28,2024-25
36402,Compensatory Education,404252.79,2024-25
36402,Districtwide Support,1121469.87,2024-25
36402,Food Services,591647.46,2024-25
36402,Other Instructional,251331.16,2024-25
36402,Special Education,608915.07,2024-25
36402,Transportation,454334.14,2024-25
36402,Vocational/CTE,157907.63,2024-25
37501,Basic Education,110267272.78,2024-25
37501,Community Services,1328108.49,2024-25
37501,Compensatory Education,10643652.97,2024-25
37501,Districtwide Support,29253875.85,2024-25
37501,Food Services,6038819.92,2024-25
37501,Other Instructional,5430359.06,2024-25
37501,Special Education,39608015.5,2024-25
37501,Transportation,6603965.2,2024-25
37501,Vocational/CTE,12299779.86,2024-25
37502,Basic Education,42994477.13,2024-25
37502,Community Services,38566.89,2024-25
37502,Compensatory Education,6106531.12,2024-25
37502,Districtwide Support,12365656.54,2024-25
37502,Food Services,2542991.47,2024-25
37502,Other Instructional,2233110.26,2024-25
37502,Special Education,14858708.74,2024-25
37502,Transportation,3825102.38,2024-25
37502,Vocational/CTE,4318293.3,2024-25
37503,Basic Education,19282957.54,2024-25
37503,COVID Relief,4661.05,2024-25
37503,Community Services,34495.56,2024-25
37503,Compensatory Education,1718532.6,2024-25
37503,Districtwide Support,6445050.84,2024-25
37503,Food Services,1145745.68,2024-25
37503,Other Instructional,965752.54,2024-25
37503,Special Education,6661650.3,2024-25
37503,Transportation,1726259.72,2024-25
37503,Vocational/CTE,1154968.44,2024-25
37504,Basic Education,34482233.75,2024-25
37504,COVID Relief,1651.41,2024-25
37504,Community Services,8220.23,2024-25
37504,Compensatory Education,2533087.05,2024-25
37504,Districtwide Support,8614772.22,2024-25
37504,Food Services,1610117.03,2024-25
37504,Other Instructional,1319048.61,2024-25
37504,Special Education,10139887.72,2024-25
37504,Transportation,2431155.52,2024-25
37504,Vocational/CTE,2175251.05,2024-25
37505,Basic Education,17753685.86,2024-25
37505,COVID Relief,7285.62,2024-25
37505,Compensatory Education,1458712.95,2024-25
37505,Districtwide Support,6609995.89,2024-25
37505,Food Services,760598.15,2024-25
37505,Other Instructional,819790.86,2024-25
37505,Special Education,4903072.32,2024-25
37505,Transportation,1420921.41,2024-25
37505,Vocational/CTE,736907.59,2024-25
37506,Basic Education,18320569.62,2024-25
37506,Community Services,254920.37,2024-25
37506,Compensatory Education,2350611.85,2024-25
37506,Districtwide Support,4987501.64,2024-25
37506,Food Services,1784605.45,2024-25
37506,Other Instructional,749811.78,2024-25
37506,Special Education,5598246.33,2024-25
37506,Transportation,1820017.8,2024-25
37506,Vocational/CTE,1475412.06,2024-25
37507,Basic Education,14554776.55,2024-25
37507,Community Services,28380.41,2024-25
37507,Compensatory Education,2496194.43,2024-25
37507,Districtwide Support,4750477.85,2024-25
37507,Food Services,1355261.89,2024-25
37507,Other Instructional,473039.8,2024-25
37507,Special Education,6390996.4,2024-25
37507,Transportation,2556712.03,2024-25
37507,Vocational/CTE,902271.11,2024-25
37902,Basic Education,1156743.98,2024-25
37902,Compensatory Education,40907.08,2024-25
37902,Districtwide Support,883819.78,2024-25
37902,Food Services,118765.95,2024-25
37902,Other Instructional,3423.46,2024-25
37902,Special Education,205048.4,2024-25
37902,Transportation,111.96,2024-25
38126,Basic Education,1597591.36,2024-25
38126,Compensatory Education,81186.97,2024-25
38126,Districtwide Support,701830.48,2024-25
38126,Food Services,117925.29,2024-25
38126,Other Instructional,17867.53,2024-25
38126,Special Education,233717.23,2024-25
38126,Transportation,346512.52,2024-25
38126,Vocational/CTE,81093.79,2024-25
38264,Basic Education,474526.82,2024-25
38264,Compensatory Education,44898.86,2024-25
38264,Districtwide Support,338986.09,2024-25
38264,Food Services,62657.82,2024-25
38264,Other Instructional,7643.25,2024-25
38264,Special Education,112380.88,2024-25
38264,Transportation,71992.4,2024-25
38265,Basic Education,2277719.54,2024-25
38265,Community Services,10348.62,2024-25
38265,Compensatory Education,406097.18,2024-25
38265,Districtwide Support,902426.67,2024-25
38265,Food Services,231877.46,2024-25
38265,Other Instructional,24830.92,2024-25
38265,Special Education,477664.41,2024-25
38265,Transportation,265306.02,2024-25
38265,Vocational/CTE,281716.28,2024-25
38267,Basic Education,23557821.78,2024-25
38267,Community Services,7594.59,2024-25
38267,Compensatory Education,1746127.37,2024-25
38267,Districtwide Support,8292319.65,2024-25
38267,Food Services,1347745.35,2024-25
38267,Other Instructional,402611.57,2024-25
38267,Special Education,5437323.77,2024-25
38267,Transportation,1246504.55,2024-25
38267,Vocational/CTE,1705278.75,2024-25
38300,Basic Education,4986664.63,2024-25
38300,Compensatory Education,346923.82,2024-25
38300,Districtwide Support,2015857.75,2024-25
38300,Food Services,416699.97,2024-25
38300,Other Instructional,15514.72,2024-25
38300,Special Education,995910.81,2024-25
38300,Transportation,542354.57,2024-25
38300,Vocational/CTE,516801.96,2024-25
38301,Basic Education,2345372.44,2024-25
38301,Community Services,35989.37,2024-25
38301,Compensatory Education,113765.22,2024-25
38301,Districtwide Support,916492.23,2024-25
38301,Food Services,232454.35,2024-25
38301,Other Instructional,7842.79,2024-25
38301,Special Education,414482.24,2024-25
38301,Vocational/CTE,161846.9,2024-25
38302,Basic Education,1639751.25,2024-25
38302,Community Services,64019.18,2024-25
38302,Compensatory Education,196363.65,2024-25
38302,Districtwide Support,837704.23,2024-25
38302,Food Services,184283.63,2024-25
38302,Other Instructional,807.94,2024-25
38302,Special Education,340168.37,2024-25
38302,Transportation,434544.54,2024-25
38302,Vocational/CTE,83956.4,2024-25
38304,Basic Education,524462.28,2024-25
38304,Community Services,10916.51,2024-25
38304,Compensatory Education,34594.0,2024-25
38304,Districtwide Support,261374.41,2024-25
38304,Other Instructional,10000.0,2024-25
38304,Special Education,103065.27,2024-25
38304,Transportation,95936.11,2024-25
38306,Basic Education,2007015.99,2024-25
38306,Community Services,213348.9,2024-25
38306,Compensatory Education,112170.7,2024-25
38306,Districtwide Support,819267.72,2024-25
38306,Food Services,139184.64,2024-25
38306,Other Instructional,21848.23,2024-25
38306,Special Education,312314.76,2024-25
38306,Transportation,192283.58,2024-25
38306,Vocational/CTE,111265.52,2024-25
38308,Basic Education,1572618.0,2024-25
38308,Community Services,36207.03,2024-25
38308,Compensatory Education,142225.32,2024-25
38308,Districtwide Support,779989.29,2024-25
38308,Food Services,130914.51,2024-25
38308,Other Instructional,2830.52,2024-25
38308,Special Education,268288.68,2024-25
38308,Transportation,200655.68,2024-25
38320,Basic Education,2338948.29,2024-25
38320,COVID Relief,36290.76,2024-25
38320,Community Services,50437.23,2024-25
38320,Compensatory Education,233165.41,2024-25
38320,Districtwide Support,959259.81,2024-25
38320,Food Services,158752.26,2024-25
38320,Other Instructional,907.12,2024-25
38320,Special Education,417531.8,2024-25
38320,Transportation,258752.46,2024-25
38320,Vocational/CTE,116200.87,2024-25
38322,Basic Education,1811789.83,2024-25
38322,Community Services,34142.14,2024-25
38322,Compensatory Education,145202.76,2024-25
38322,Districtwide Support,927151.97,2024-25
38322,Food Services,179899.45,2024-25
38322,Other Instructional,29226.76,2024-25
38322,Special Education,284283.33,2024-25
38322,Transportation,437069.1,2024-25
38322,Vocational/CTE,176631.7,2024-25
38324,Basic Education,1808610.92,2024-25
38324,Community Services,3212.06,2024-25
38324,Compensatory Education,109978.09,2024-25
38324,Districtwide Support,982080.55,2024-25
38324,Food Services,212161.51,2024-25
38324,Other Instructional,27874.63,2024-25
38324,Special Education,273910.1,2024-25
38324,Transportation,488007.79,2024-25
38324,Vocational/CTE,279435.19,2024-25
39002,Basic Education,5423079.21,2024-25
39002,COVID Relief,174539.22,2024-25
39002,Community Services,3634.61,2024-25
39002,Compensatory Education,942274.47,2024-25
39002,Districtwide Support,2314188.74,2024-25
39002,Food Services,632876.22,2024-25
39002,Other Instructional,291056.89,2024-25
39002,Special Education,1026564.27,2024-25
39002,Transportation,185387.75,2024-25
39003,Basic Education,11617954.97,2024-25
39003,Community Services,4166.0,2024-25
39003,Compensatory Education,1558624.79,2024-25
39003,Districtwide Support,4958466.11,2024-25
39003,Food Services,1047013.94,2024-25
39003,Other Instructional,165918.1,2024-25
39003,Special Education,2709928.71,2024-25
39003,Transportation,1111263.17,2024-25
39003,Vocational/CTE,1633549.07,2024-25
39007,Basic Education,120665127.95,2024-25
39007,COVID Relief,13861.02,2024-25
39007,Community Services,523535.58,2024-25
39007,Compensatory Education,28915453.56,2024-25
39007,Districtwide Support,36091215.38,2024-25
39007,Food Services,10703136.95,2024-25
39007,Other Instructional,10704925.92,2024-25
39007,Special Education,45648553.44,2024-25
39007,Transportation,5661196.51,2024-25
39007,Vocational/CTE,20941225.39,2024-25
39090,Basic Education,30519512.97,2024-25
39090,Compensatory Education,3648402.57,2024-25
39090,Districtwide Support,7917420.51,2024-25
39090,Food Services,2523578.8,2024-25
39090,Other Instructional,1831876.7,2024-25
39090,Special Education,6724796.97,2024-25
39090,Transportation,2116500.73,2024-25
39090,Vocational/CTE,2047710.06,2024-25
39119,Basic Education,29758040.65,2024-25
39119,COVID Relief,6778.0,2024-25
39119,Community Services,58573.16,2024-25
39119,Compensatory Education,4463961.21,2024-25
39119,Districtwide Support,9113452.22,2024-25
39119,Food Services,3177871.24,2024-25
39119,Other Instructional,3029030.49,2024-25
39119,Special Education,7689929.02,2024-25
39119,Transportation,2138788.68,2024-25
39119,Vocational/CTE,6217990.47,2024-25
39120,Basic Education,6247496.38,2024-25
39120,COVID Relief,9473.28,2024-25
39120,Community Services,59987.24,2024-25
39120,Compensatory Education,1932342.36,2024-25
39120,Districtwide Support,2891969.36,2024-25
39120,Food Services,612722.55,2024-25
39120,Other Instructional,466397.86,2024-25
39120,Special Education,1458625.31,2024-25
39120,Transportation,192817.3,2024-25
39120,Vocational/CTE,548599.06,2024-25
39200,Basic Education,27987003.77,2024-25
39200,COVID Relief,50001.44,2024-25
39200,Community Services,3818.62,2024-25
39200,Compensatory Education,6109662.63,2024-25
39200,Districtwide Support,11305264.3,2024-25
39200,Food Services,2959093.09,2024-25
39200,Other Instructional,2974504.38,2024-25
39200,Special Education,7849997.64,2024-25
39200,Transportation,1665517.98,2024-25
39200,Vocational/CTE,3556467.57,2024-25
39201,Basic Education,51535664.01,2024-25
39201,COVID Relief,308886.28,2024-25
39201,Community Services,15440.19,2024-25
39201,Compensatory Education,12724441.7,2024-25
39201,Districtwide Support,16922995.82,2024-25
39201,Food Services,5695087.57,2024-25
39201,Other Instructional,5173532.59,2024-25
39201,Special Education,13941904.51,2024-25
39201,Transportation,3461418.6,2024-25
39201,Vocational/CTE,3775351.73,2024-25
39202,Basic Education,28539130.9,2024-25
39202,Community Services,2353198.54,2024-25
39202,Compensatory Education,6632470.01,2024-25
39202,Districtwide Support,11310750.96,2024-25
39202,Food Services,3056453.17,2024-25
39202,Other Instructional,3000763.53,2024-25
39202,Special Education,7450226.72,2024-25
39202,Transportation,1968150.58,2024-25
39202,Vocational/CTE,7382289.56,2024-25
39203,Basic Education,9874114.92,2024-25
39203,Compensatory Education,1737823.74,2024-25
39203,Districtwide Support,3282210.06,2024-25
39203,Food Services,869877.92,2024-25
39203,Other Instructional,559806.57,2024-25
39203,Special Education,1772361.35,2024-25
39203,Transportation,841831.13,2024-25
39203,Vocational/CTE,371601.05,2024-25
39204,Basic Education,11654298.57,2024-25
39204,Community Services,880918.99,2024-25
39204,Compensatory Education,3075760.06,2024-25
39204,Districtwide Support,3952821.54,2024-25
39204,Food Services,1178550.09,2024-25
39204,Other Instructional,1645707.19,2024-25
39204,Special Education,2991345.8,2024-25
39204,Transportation,615482.09,2024-25
39204,Vocational/CTE,1863510.26,2024-25
39205,Basic Education,11464104.19,2024-25
39205,Compensatory Education,1368260.0,2024-25
39205,Districtwide Support,5084604.66,2024-25
39205,Food Services,1091175.48,2024-25
39205,Other Instructional,758005.78,2024-25
39205,Special Education,2112077.68,2024-25
39205,Transportation,661980.96,2024-25
39205,Vocational/CTE,721150.41,2024-25
39207,Basic Education,30513474.56,2024-25
39207,COVID Relief,25480.86,2024-25
39207,Compensatory Education,5905603.43,2024-25
39207,Districtwide Support,9881516.38,2024-25
39207,Food Services,2834302.88,2024-25
39207,Other Instructional,2796194.44,2024-25
39207,Special Education,6387298.21,2024-25
39207,Transportation,1807498.48,2024-25
39207,Vocational/CTE,2733573.24,2024-25
39208,Basic Education,44495608.82,2024-25
39208,Community Services,144964.29,2024-25
39208,Compensatory Education,4813584.99,2024-25
39208,Districtwide Support,13461455.67,2024-25
39208,Food Services,3049507.78,2024-25
39208,Other Instructional,1532975.3,2024-25
39208,Special Education,10953131.19,2024-25
39208,Transportation,3133604.17,2024-25
39208,Vocational/CTE,6776962.96,2024-25
39209,Basic Education,8574530.39,2024-25
39209,Community Services,65573.41,2024-25
39209,Compensatory Education,3015035.94,2024-25
39209,Districtwide Support,4441995.18,2024-25
39209,Food Services,932284.9,2024-25
39209,Other Instructional,952601.22,2024-25
39209,Special Education,1918648.55,2024-25
39209,Transportation,1074829.59,2024-25
39209,Vocational/CTE,773629.08,2024-25
39901,Basic Education,1119164.81,2024-25
